lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-CC110045/	1077.0	756.0	2028.0	1465.0	541.0	3344.0	4584.0	3282.0	1050.0	4856.0	2779.0	2667.0	1929.0	3313.0	647.0	1268.0	1684.0	685.0	1386.0	1157.0	3906.0	1387.0	4696.0	3396.0	866.0	5133.0	7953.0	4797.0	3669.0	3586.0	255.0	460.0	459.0	2263.0	83319.0	1203207.0	1570215.26232
sub-CC110056/	898.0	519.0	1830.0	1281.0	536.0	3227.0	3752.0	3580.0	979.0	4281.0	2415.0	3069.0	1612.0	2976.0	600.0	1213.0	1391.0	669.0	1153.0	1285.0	3598.0	1177.0	4043.0	3207.0	757.0	5567.0	6678.0	4795.0	3631.0	3627.0	263.0	495.0	466.0	2527.0	78096.1	1108622.0	1456863.2737
sub-CC110062/	1277.0	1067.0	2364.0	1566.0	461.0	4023.0	4816.0	4309.0	1073.0	5752.0	2961.0	2865.0	2340.0	4011.0	734.0	1618.0	1531.0	827.0	1485.0	1517.0	4655.0	1565.0	5754.0	4744.0	1048.0	6485.0	8183.0	6120.0	4703.0	4896.0	261.0	529.0	546.0	2469.0	98551.4	1384550.0	1750164.7766
sub-CC110069/	1127.0	546.0	2416.0	1442.0	640.0	3127.0	4383.0	3161.0	955.0	4861.0	2756.0	2541.0	1733.0	3160.0	663.0	1384.0	1358.0	634.0	1158.0	1272.0	3807.0	1060.0	4710.0	3694.0	942.0	5314.0	8292.0	5341.0	4027.0	3884.0	242.0	489.0	440.0	2215.0	83758.4	1153468.0	1548859.23049
sub-CC110087/	848.0	434.0	2281.0	1410.0	501.0	3399.0	4225.0	3077.0	714.0	5221.0	2738.0	2820.0	1710.0	2855.0	707.0	1322.0	1443.0	661.0	1258.0	1159.0	3856.0	1163.0	4659.0	3126.0	728.0	4968.0	6875.0	4020.0	3632.0	3400.0	260.0	534.0	407.0	2551.0	78959.6	1093216.0	1418121.01142
sub-CC110098/	1102.0	673.0	2857.0	1736.0	561.0	3061.0	4443.0	3370.0	1155.0	5256.0	3034.0	3549.0	1996.0	3361.0	679.0	1503.0	1768.0	813.0	1550.0	1783.0	4339.0	1216.0	5092.0	4730.0	1035.0	6558.0	8608.0	6281.0	4174.0	4510.0	246.0	508.0	466.0	2551.0	94557.6	1273735.0	1679125.33446
sub-CC110101/	1167.0	607.0	2641.0	1491.0	376.0	2952.0	6022.0	3368.0	950.0	5714.0	2208.0	3057.0	1758.0	3239.0	613.0	1399.0	1523.0	607.0	1103.0	1294.0	4490.0	1172.0	5358.0	4115.0	590.0	5712.0	8005.0	5075.0	4435.0	5386.0	280.0	410.0	517.0	2521.0	90131.5	1277691.0	1761148.86602
sub-CC110126/	922.0	754.0	2345.0	1342.0	545.0	3251.0	5275.0	4166.0	1007.0	5125.0	2989.0	2834.0	2094.0	3019.0	620.0	1613.0	1602.0	858.0	1085.0	1226.0	4332.0	1238.0	4904.0	5075.0	885.0	5499.0	8160.0	6599.0	4070.0	3839.0	245.0	563.0	475.0	2298.0	90757.8	1281488.0	1612610.13139
sub-CC110174/	688.0	442.0	1578.0	1404.0	327.0	2287.0	2974.0	2361.0	816.0	3977.0	2216.0	2314.0	1725.0	2434.0	515.0	1270.0	1427.0	519.0	1306.0	1308.0	3172.0	931.0	4053.0	3221.0	420.0	4374.0	6662.0	4982.0	3670.0	3760.0	225.0	424.0	461.0	1947.0	70188.5	985416.0	1219193.1219
sub-CC110182/	804.0	500.0	2095.0	1565.0	412.0	3172.0	4023.0	3134.0	698.0	5348.0	2524.0	2996.0	1919.0	2724.0	655.0	1334.0	1185.0	694.0	1171.0	1381.0	3657.0	1176.0	4295.0	3914.0	776.0	5190.0	6794.0	6192.0	3410.0	3732.0	265.0	476.0	385.0	2194.0	80790.3	1121413.0	1484934.93773
sub-CC110187/	871.0	608.0	2369.0	1638.0	518.0	3428.0	4763.0	3113.0	753.0	5940.0	2887.0	3379.0	2018.0	3171.0	667.0	1571.0	1425.0	736.0	1275.0	1580.0	3644.0	1240.0	4520.0	3008.0	714.0	5838.0	7519.0	5417.0	3339.0	3691.0	312.0	408.0	353.0	2434.0	85138.1	1137451.0	1487522.29103
sub-CC110319/	886.0	632.0	2543.0	1577.0	494.0	3629.0	5128.0	3562.0	1064.0	5051.0	3028.0	2890.0	1940.0	3042.0	677.0	1571.0	1598.0	797.0	1481.0	1505.0	4154.0	1367.0	4959.0	4340.0	981.0	6590.0	8004.0	6299.0	4152.0	4954.0	272.0	493.0	727.0	2696.0	93075.4	1354860.0	1716310.76536
