lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
1000_T1.nii.gz/	1095.0	579.0	2338.0	1500.0	395.0	3290.0	4270.0	3406.0	984.0	4995.0	2843.0	3041.0	1851.0	3347.0	693.0	1382.0	1756.0	709.0	1175.0	1287.0	4128.0	1239.0	5072.0	3694.0	699.0	5301.0	7967.0	5331.0	3982.0	4218.0	168.0	454.0	379.0	2276.0	85835.0	1244536.0	1553398.28932
1001_T1.nii.gz/	849.0	564.0	1699.0	1124.0	414.0	2663.0	4108.0	2092.0	537.0	4687.0	1803.0	2609.0	1153.0	2430.0	466.0	1171.0	1144.0	573.0	1134.0	1036.0	3893.0	996.0	4664.0	3056.0	560.0	4476.0	7106.0	4963.0	3465.0	3273.0	243.0	278.0	485.0	1810.0	71516.5	1088564.0	1412800.03614
1002_T1.nii.gz/	906.0	497.0	2219.0	1475.0	337.0	2627.0	3797.0	2206.0	859.0	5139.0	2090.0	2707.0	1381.0	2320.0	775.0	1181.0	1599.0	675.0	1249.0	1271.0	3673.0	949.0	4392.0	3141.0	592.0	5415.0	6707.0	4715.0	3789.0	3161.0	220.0	327.0	408.0	2197.0	74990.6	1040227.0	1490314.36204
1005_T1.nii.gz/	1201.0	1165.0	3145.0	1556.0	437.0	3192.0	4992.0	3192.0	982.0	5860.0	2292.0	2998.0	1582.0	3229.0	722.0	1609.0	1708.0	619.0	1351.0	1422.0	4248.0	1217.0	5044.0	4438.0	996.0	6519.0	8174.0	5807.0	4245.0	3655.0	282.0	396.0	485.0	2398.0	91153.0	1176690.0	1643084.59611
1006_T1.nii.gz/	844.0	355.0	2129.0	1023.0	327.0	2578.0	3694.0	2067.0	583.0	4722.0	2047.0	2515.0	1176.0	2332.0	609.0	1450.0	1424.0	629.0	1174.0	864.0	3109.0	660.0	4291.0	3337.0	563.0	4826.0	6382.0	5462.0	3132.0	3031.0	155.0	294.0	358.0	2180.0	70320.3	995353.0	1458019.19387
1008_T1.nii.gz/	1354.0	725.0	3124.0	1908.0	556.0	3594.0	5296.0	3163.0	1171.0	5110.0	2642.0	3604.0	2112.0	3992.0	881.0	1633.0	1549.0	861.0	1588.0	1830.0	4956.0	1015.0	5533.0	4147.0	914.0	7379.0	9708.0	5518.0	5039.0	5044.0	248.0	504.0	619.0	3133.0	100430.0	1415567.0	2053936.5428
1012_T1.nii.gz/	1114.0	837.0	2383.0	1532.0	512.0	3008.0	5090.0	3251.0	1080.0	5831.0	2739.0	3195.0	1973.0	3169.0	705.0	1424.0	1497.0	720.0	1252.0	1384.0	4055.0	1246.0	5115.0	3861.0	803.0	6197.0	7965.0	6248.0	4674.0	5627.0	269.0	506.0	439.0	2571.0	92271.3	1241199.0	1801941.10437
1015_T1.nii.gz/	1132.0	609.0	3417.0	1587.0	512.0	3513.0	5600.0	3328.0	956.0	5175.0	2666.0	3860.0	1738.0	3750.0	876.0	1558.0	1508.0	644.0	1200.0	1700.0	4477.0	1234.0	5984.0	4707.0	998.0	6364.0	8336.0	6351.0	4937.0	4951.0	251.0	395.0	638.0	2570.0	97522.6	1341397.0	1817817.09705
1022_T1.nii.gz/	804.0	582.0	2622.0	1333.0	386.0	2978.0	4142.0	3511.0	765.0	5511.0	2341.0	3108.0	1650.0	2902.0	792.0	1225.0	1687.0	679.0	1073.0	1441.0	4080.0	959.0	5222.0	3917.0	788.0	4693.0	6804.0	5805.0	3629.0	3076.0	261.0	405.0	447.0	2306.0	81921.2	1131779.0	1703926.17377
1030_T1.nii.gz/	1067.0	573.0	2655.0	1277.0	359.0	3249.0	4328.0	2362.0	723.0	5103.0	2124.0	2870.0	1775.0	2569.0	619.0	1362.0	1472.0	588.0	1389.0	1139.0	4048.0	1216.0	4722.0	4436.0	883.0	5816.0	7505.0	6651.0	4361.0	4656.0	245.0	410.0	467.0	2425.0	85440.6	1110085.0	1590132.89948
